CASH,,,,
NAME OF INSTITUTION,,CURRENCY,VALUE (AUD),WEIGHTING (%)
DOMINOS PIZZA ENTERPRISES LTD,AU000000DMP0        ,205137,6039248,0.01%
DOMINOS PIZZA INC,US25754A2015        ,2099,1423257,0.00%
DONALDSON COMPANY INC,US2576511099        ,3036,330268,0.00%
DOORDASH INC,US25809K1051        ,117910,31946185,0.06%
DORMA KABA HOLDING AG,CH0011795959        ,385,442356,0.00%
DORMAN PRODUCTS INC,US2582781009        ,598,125120,0.00%
DOUYU INTERNATIONAL HOLDADR,US25985W2044        ,4471,80953,0.00%
DOVER CORPORATION COM,US2600031080        ,6533,1979438,0.00%
DOW INC,US2605571031        ,32322,2094971,0.00%
DOWA HOLDINGS CO LTD,JP3638600001        ,2179,99801,0.00%
DOWLAIS GROUP PLC,GB00BMWRZ071        ,49475,67502,0.00%
DOWNER EDI LIMITED,AU000000DOW2        ,578304,3036095,0.01%
DOXIMITY INC,US26622P1075        ,7369,635478,0.00%
DR HORTON INC,US23331A1097        ,12333,2785053,0.01%
DR ING HC F PORSCHE AG,DE000PAG9113        ,111937,10936742,0.02%
DR MARTENS PLC,GB00BL6NGV24        ,23212,33900,0.00%
DRAFTKINGS HOLDINGS INC,US26142V1052        ,5281,317267,0.00%
DRAX GROUP PLC,GB00B1VNSX38        ,22710,297668,0.00%
DROPBOX INC,US26210C1045        ,100076,4855522,0.01%
DSM FIRMENICH AG EUR0.01,CH1216478797        ,2237,365649,0.00%
DSV A/S,DK0060079531        ,34560,11851004,0.02%
DUFRY GROUP,CH0023405456        ,881,57081,0.00%
DUN AND BRADSTREET HOLDINGS INC,US26484T1060        ,7209,145080,0.00%
DUNDEE PRECIOUS METALS INC,CA2652692096        ,5541,81137,0.00%
DUNELM GROUP PLC,GB00B1CKQ739        ,5043,108951,0.00%
DUPONT DE NEMOURS INC,US26614N1028        ,18157,2236039,0.00%
DYNATRACE INC,US2681501092        ,4086,358687,0.00%
DYNE THERAPEUTICS,US26818M1080        ,100220,3813594,0.01%
E INK HOLDINGS INC,TW0008069006        ,640523,8614558,0.02%
E-MART CO LTD,KR7139480008        ,485,33744,0.00%
EAGERS AUTOMOTIVE LIMITED ORDINARY FULLY PAID,AU000000APE3        ,30975,366739,0.00%
EAST JAPAN RAILWAY JPY,JP3783600004        ,123216,3539242,0.01%
EAST WEST BANCORP INC,US27579R1041        ,6092,942168,0.00%
EASTMAN CHEMICAL COM,US2774321002        ,8376,1235434,0.00%
EATON CORPORATION PLC COM,IE00B8KQN827        ,12708,6811739,0.01%
EBAY INC,US2786421030        ,22200,2221294,0.00%
EBOS GROUP LTD,NZEBOE0001S6        ,472906,16074082,0.03%
ECOLAB LTD,US2788651006        ,9316,3525805,0.01%
EDENRED,FR0010908533        ,2949,156589,0.00%
EDGEWISE THERAPEUTICS INC,US28036F1057        ,50871,2193722,0.00%
EDP RENOVAVEIS SA,ES0127797019        ,3556,59714,0.00%
EDWARDS LIFESCIENCES CORP,US28176E1082        ,58048,6940585,0.01%
EICHER MOTORS INR1,INE066A01021        ,3906,355326,0.00%
EIFFAGE INC,FR0000130452        ,837,118643,0.00%
EISAI CO LTD JPY,JP3160400002        ,4212,187380,0.00%
ELASTIC NV,NL0013056914        ,2175,348131,0.00%
ELBIT SYSTEMS LTD,IL0010811243        ,304,128530,0.00%
ELDERS LIMITED,AU000000ELD6        ,52896,378736,0.00%
ELECTRIC POWER DEVELOPMENT CO LTD,JP3551200003        ,42751,1130002,0.00%
ELECTROCOMPONENTS PLC,GB0003096442        ,16113,222124,0.00%
ELECTROLUX AB SER B NPV,SE0016589188        ,5464,73399,0.00%
ELECTRONIC ARTS INC,US2855121099        ,15834,3741411,0.01%
ELEMENT FINANCIAL CORP,CA2861812014        ,4463,145659,0.00%
ELEMENTIS PLC,GB0002418548        ,24476,71887,0.00%
ELEVANCE HEALTH INC,US0367521038        ,20606,12277366,0.02%
EMCOR GROUP INC,US29084Q1004        ,672,492927,0.00%
EMECO HOLDINGS LTD,AU000000EHL7        ,158174,144729,0.00%
EMERALD RESOURCES NL ORDINARY FULLY PAID,AU000000EMR4        ,120276,390896,0.00%
EMERSON ELECTRIC CO,US2910111044        ,20206,4044523,0.01%
EMIRATES NBD BANK PJSC,AEE000801010        ,8039,75824,0.00%
EML PAYMENTS LIMITED,AU000000EML7        ,56456,47140,0.00%
EMPIRE CO LIMITED,CA2918434077        ,1257,61970,0.00%
EMS CHEMIE HLDS REG,CH0016440353        ,80,87007,0.00%
ENACT HLDGS INC COM,US29249E1091        ,2018,105543,0.00%
ENDEAVOUR GROUP LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000154833        ,3952509,16600537,0.03%
ENDEAVOUR MINING PLC,GB00BL6K5J42        ,2094,60358,0.00%
ENEOS HOLDINGS INC,JP3386450005        ,39181,332720,0.00%
ENI SPA,IT0003132476        ,32396,709237,0.00%
ENLIVEN THERAPEUTICS ORD SHS,US29337E1029        ,105759,3843312,0.01%
ENOMOTO ORD SHS,JP3165800008        ,1314,19387,0.00%
ENOVA INTERNATIONAL INC,US29357K1034        ,630,97594,0.00%
ENPHASE ENERGY INC,US29355A1079        ,20279,2249516,0.00%
ENTAIN PLC,IM00B5VQMV65        ,7281,101216,0.00%
ENTEGRIS INC,US29362U1043        ,1823,291675,0.00%
EOG RESOURCES INC,US26875P1012        ,20235,4006130,0.01%
EPAM SYSTEMS INC,US29414B1044        ,7647,2887867,0.01%
EPIROC AB,SE0015658109        ,7929,223168,0.00%
EPIROC AB SER B NPV POST SPLIT,SE0015658117        ,4444,111987,0.00%
EQT AB,SE0012853455        ,4480,200438,0.00%
EQT CORPORATION,US26884L1098        ,27817,2071621,0.00%
EQT HOLDINGS LIMITED,AU000000EQT1        ,9060,289917,0.00%
EQUIFAX INC,US2944291051        ,5514,2269696,0.00%
EQUINOR ASA,NO0010096985        ,12050,454809,0.00%
EQUITABLE HOLDINGS INC,US29452E1010        ,88607,6750532,0.01%
ERICSSON LM - B SHS,SE0000108656        ,45133,592963,0.00%
ERICSSON TELEFON,SE0000108649        ,8172,107268,0.00%
ERIE INDEMNITY CO,US29530P1021        ,1922,1279521,0.00%
ERSTE GROUP BANK AG,AT0000652011        ,5300,528786,0.00%
ESSENTRA PLC,GB00B0744359        ,12255,32971,0.00%
ESSILORLUXOTTICA,FR0000121667        ,3576,1409174,0.00%
ESSITY AB SER B NPV,SE0009922164        ,8732,377430,0.00%
ESTEE LAUDER COMPANIES,US5184391044        ,12840,1554897,0.00%
ETSY INC,US29786A1060        ,2749,234852,0.00%
EURAZEO,FR0000121121        ,521,62635,0.00%
EUROFINS SCIENTIFIC,FR0014000MR3        ,1540,126963,0.00%
EURONET WORLDWIDE INC,US2987361092        ,883,146679,0.00%
EURONEXT NV,NL0006294274        ,915,165784,0.00%
EVERBRIGHT SECURITIES CO LTD,CNE1000029M4        ,115506,192130,0.00%
EVERCORE INC COM USD 0.01 CLASS A,US29977A1051        ,1125,503879,0.00%
EVEREST GROUP LTD,BMG3223R1088        ,2603,1523827,0.00%
EVOLUTION AB,SE0012673267        ,2448,305217,0.00%
EVOLUTION MINING LIMITED,AU000000EVN4        ,4108705,19762872,0.04%
EVONIK INDUSTRIES AG,DE000EVNK013        ,2921,81720,0.00%
EVS BROADCAST EQUIPMENT,BE0003820371        ,3674,190169,0.00%
EXACT SCIENCES CORP,US30063P1057        ,2200,199678,0.00%
EXELIXIS INC,US30161Q1040        ,110896,5964391,0.01%
EXOR NV,NL0012059018        ,1196,177166,0.00%
EXPEDIA GROUP INC,US30212P3038        ,6719,2021922,0.00%
EXPEDITORS INTL WASH INC,US3021301094        ,8165,1460770,0.00%
EXPENSIFY INC A,US30219Q1067        ,9232,49953,0.00%
EXPERIAN GROUP LTD,GB00B19NLV48        ,11065,771033,0.00%
EXTREME CO LTD,JP3161270008        ,3992,61369,0.00%
EXXON MOBIL CORPORATION,US30231G1022        ,191900,33340419,0.06%
F.C.C. CO LTD,JP3166900005        ,21495,705779,0.00%
F5 NETWORKS INC,US3156161024        ,7777,3158610,0.01%
FABRINET,KYG3323L1005        ,5589,1984931,0.00%
FACTSET RESEARCH SYSTEMS INC,US3030751057        ,2077,1611515,0.00%
FAIR ISAAC CORPORATION,US3032501047        ,3677,11825073,0.02%
FAIRFAX FINL HOLDINGS LTD CAD,CA3039011026        ,251,564773,0.00%
FANUC CORP NPV,JP3802400006        ,53552,2297702,0.00%
FAR EAST SMARTER ENERGY CO A,CNE000000HQ7        ,56126,58990,0.00%
FAST RETAILING CO LTD,JP3802300008        ,2326,1286491,0.00%
FASTENAL CO,US3119001044        ,22753,2642652,0.01%
FBD HOLDINGS PLC,IE0003290289        ,2617,55363,0.00%
FDXEX CORP COM,US31428X1063        ,58296,26488802,0.05%
FEDERAL BANK LTD,INE171A01029        ,509342,1921958,0.00%
FEDERATED HERMES COM NPV CLASS B,US3142111034        ,1999,132750,0.00%
FERGUSON ENTERPRISES INC,US31488V1070        ,2389,669671,0.00%
FERRARI NV COM,NL0011585146        ,1517,1046235,0.00%
FERREXPO PLC,GB00B1XH2C03        ,10938,23409,0.00%
FERROVIAL SE EUR0.01,NL0015001FS8        ,5822,395310,0.00%
FIDELITY NATIONAL INFORMATION SERVICES INC,US31620M1062        ,44606,5819015,0.01%
FIDELITY NATL FINL FNF GROUP,US31620R3030        ,3143,285001,0.00%
FIH MOBILE LTD COM USD0.04,KYG3472Y1017        ,454245,86891,0.00%
FILA HOLDINGS CORP,KR7081660003        ,1164,51465,0.00%
FINANCIAL PRODUCTS GROUP CO LTD,JP3166990006        ,1523,45299,0.00%
FINECOBANK BANCO FINECO SPA,IT0000072170        ,7351,206427,0.00%
FINEOS CORPORATION HOLDINGS PLC,AU0000054322        ,1046615,1925772,0.00%
FIRAN TECHNOLOGY GROUP CORP,CA3180931014        ,4296,35173,0.00%
FIRST ABU DHABI BANK PJSC,AEN000101016        ,26198,158280,0.00%
FIRST BANCORP PUERTO RICO,PR3186727065        ,40448,1214463,0.00%
FIRST CITIZENS BCSHS - CL A,US31946M1036        ,126,429079,0.00%
FIRST HAWAIIAN INC,US32051X1081        ,4094,171597,0.00%
FIRST INTERNATIONAL BANK OF ISRAEL LTD,IL0005930388        ,3274,260388,0.00%
FIRST QUANTUM MINERALS LTD,CA3359341052        ,8549,177909,0.00%
FIRST SOLAR INC,US3364331070        ,12914,3675856,0.01%
FIRSTGROUP PLC,GB0003452173        ,22778,74042,0.00%
FIRSTRAND LTD,ZAE000066304        ,11184,72712,0.00%
FISERV INC COM,US3377381088        ,32535,10794228,0.02%
FISHER & PAYKEL HEALTHCARE,NZFAPE0001S2        ,56805,1985322,0.00%
FISHER & PAYKEL HEALTHCARE CORPORATION LTD,NZFAPE0001S2        ,7052,245037,0.00%
FIVERR INTERNATIONAL LTD,IL0011582033        ,8690,445323,0.00%
FLEETPARTNERS GROUP LIMITED ORDINARY FULLY PAID,AU0000272924        ,34889,93852,0.00%
FLETCHER BUILDING LIMITED,NZFBUE0001S0        ,6685074,17046938,0.03%
FLEX LTD COM,SG9999000020        ,127967,7934538,0.02%
FLIGHT CENTRE TRAVEL GROUP LIMITED,AU000000FLT9        ,19345,322672,0.00%
FLOWERS FOODS INC,US3434981011        ,5670,189204,0.00%
FLUIDRA SA,ES0137650018        ,25748,1012835,0.00%
FLUTTER ENTERTAINM ORD,IE00BWT6H894        ,24889,10431621,0.02%
FLUTTER ENTERTAINMENT ORD SHS,IE00BWT6H894        ,2122,885633,0.00%
FMC CORP,US3024913036        ,10675,838127,0.00%
FOOD & LIFE COMPANIES LTD,JP3397150008        ,3135,107726,0.00%
FOOT LOCKER INC,US3448491049        ,2086,73319,0.00%
FORD MOTOR COMPANY,US3453708600        ,160181,2561236,0.00%
FORESIGHT GROUP HOLDINGS LTD,GG00BMD8MJ76        ,2994,24891,0.00%
FORTESCUE METALS GROUP LTD,AU000000FMG4        ,4280971,78127717,0.15%
FORTINET INC COM,US34959E1091        ,94683,14448202,0.03%
FORTIVE CORP,US34959J1088        ,16622,2013493,0.00%
FORTNOX AB,SE0017161243        ,4952,52189,0.00%
FORTUNA MINING COR COM NPV,CA3499421020        ,9274,64259,0.00%
FORTUNE BRANDS HOME AND SECURITY,US34964C1062        ,1509,166505,0.00%
FOSCHINI GP ZAR,ZAE000148466        ,8085,116263,0.00%
FOSSIL GROUP INC,US34988V1061        ,20925,56439,0.00%
FOX CORP,US35137L1052        ,13745,1078474,0.00%
FOX CORP COM,US35137L2043        ,8131,600657,0.00%
FOXSEMICON INTEGRATED TECHNOLOGY INC,TW0003413001        ,47468,710902,0.00%
FRANCO NEVADA CORP,CA3518581051        ,3142,596211,0.00%
FRANKLIN RESOURCES INC,US3546131018        ,30063,985183,0.00%
FRASERS GROUP PLC,GB00B1QH8P22        ,5213,64217,0.00%
FREAKOUT HOLDINGS INC,JP3826550000        ,2476,15953,0.00%
FREEPORT  MCMORAN INC,US35671D8570        ,450505,27707718,0.05%
FREIGHTWAYS GROUP LTD,NZFREE0001S0        ,12076,116269,0.00%
FRESENIUS MEDICAL CARE AG & CO,DE0005785802        ,2340,172852,0.00%
FRESENIUS SE CO KGAA,DE0005785604        ,5083,285100,0.00%
FRESHWORKS ORD SHS CLASS A,US3580541049        ,3717,97086,0.00%
FRONTDOOR INC,US35905A1097        ,6405,565595,0.00%
FTAC OLYMPUS ACQUISITION CORP,US70451X1046        ,7118,115430,0.00%
FUFENG GROUP LTD,KYG368441195        ,35825,40819,0.00%
FUJI ELECTRIC CO LTD,JP3820000002        ,1446,127163,0.00%
FUJI FILM HOLDINGS CORP,JP3814000000        ,99603,3387130,0.01%
FUJIAN ANJOY FOODS CO LTD,CNE100002YQ7        ,354727,6395459,0.01%
FUJIAN FOXIT SOFTWARE DEVELOPMENT JOINT STOCK ORD SHS A,CNE100004348        ,27004,401299,0.00%
FUJIKURA LIMITED,JP3811000003        ,3772,253817,0.00%
FUJITSU JPY,JP3818000006        ,115970,3336486,0.01%
FUKUDA DENSHI CO LTD,JP3806000000        ,119,8922,0.00%
FURUKAWA ELECTRIC NPV,JP3827200001        ,13524,929105,0.00%
FUTU HOLDINGS LTD,US36118L1061        ,629,81216,0.00%
FUTURE PLC,GB00BYZN9041        ,3650,68439,0.00%
G-III APPAREL GROUP LIMITED,US36237H1014        ,21496,1132494,0.00%
GALAXY ENTERTAINMENT GROUP LIMITED,HK0027032686        ,1983797,13611588,0.03%
GALDERMA GROUP N ORD SHS,CH1335392721        ,913,163829,0.00%
GALP ENERGIA SGPS SA-B SHRS,PTGAL0AM0009        ,5592,149163,0.00%
GAMEVIL INC,KR7063080006        ,2220,82208,0.00%
GAP INC COM STK USD0.05,US3647601083        ,103235,3939988,0.01%
GARMIN ORD,CH0114405324        ,6651,2215793,0.00%
GARTNER INC CL-A,US3666511072        ,23207,18159209,0.03%
GE AEROSPACE,US3696043013        ,53596,14437912,0.03%
GE HEALTHCARE HOLDING LLC,US36266G1076        ,19148,2417792,0.00%
GE VERNOVA ORS SHS,US36828A1016        ,9280,4930358,0.01%
GEA GROUP AG,DE0006602006        ,1768,141377,0.00%
GEBERIT AG-REG,CH0030170408        ,402,368982,0.00%
GEELY AUTOMOBILE HOLDINGS LIMITED,KYG3777B1032        ,135414,417264,0.00%
GENERAC HOLDINGS INC,US3687361044        ,9083,2274725,0.00%
GENERAL DYNAMICS CORP,US3695501086        ,8990,3825945,0.01%
GENERAL INTERFACE SOLUTION HOLDING LTD,KYG3808R1011        ,150763,375821,0.00%
GENERAL MILLS INC,US3703341046        ,23628,2433610,0.00%
GENERAL MOTORS CO,US37045V1008        ,46622,4011241,0.01%
GENERALI,IT0000062072        ,15316,698508,0.00%
GENESCO INC,US3715321028        ,4604,317916,0.00%
GENESIS MINERALS LTD,AU000000GMD9        ,1482575,3661959,0.01%
GENMAB AS,DK0010272202        ,756,253136,0.00%
GENTERA SAB DE CV,MX01GE0E0004        ,428292,808422,0.00%
GENTING SINGAPORE LTD,SGXE21576413        ,68898,62402,0.00%
GENTRACK GROUP LIMITED ORDINARY FULLY PAID,NZGTKE0002S9        ,180223,2088782,0.00%
GENUINE PARTS CO USD,US3724601055        ,8077,1523117,0.00%
GENUIT GROUP PLC,GB00BKRC5K31        ,8870,69883,0.00%
GENUS PLC,GB0002074580        ,2119,66445,0.00%
GENUSPLUS GROUP LTD ORDINARY FULLY PAID,AU0000117160        ,35594,93255,0.00%
GENWORTH FINANCIAL-A,US37247D1063        ,10880,122828,0.00%
GEORGE WESTON LTD,CA9611485090        ,691,173593,0.00%
GERON CORP,US3741631036        ,218195,1247535,0.00%
GETINGE AB-B,SE0000202624        ,2606,69167,0.00%
GFL ENVIRONMENTAL INC,CA36168Q1046        ,2515,180953,0.00%
GILDAN ACTIVEWEAR INC,CA3759161035        ,1760,133724,0.00%
GILEAD SCIENCES INC,US3755581036        ,58110,8669356,0.02%
GIVAUDAN - REG,CH0010645932        ,111,786468,0.00%
GJENSIDIGE FORSIKR NOK,NO0010582521        ,1777,50798,0.00%
GLOBAL E ONLINE ORD,IL0011741688        ,219999,19375797,0.04%
GLOBAL PAYMENTS INC,US37940X1028        ,12300,2226145,0.00%
GLOBE LIFE INC,US37959E1029        ,12612,2271603,0.00%
GLOBUS MEDICAL INC,US3795772082        ,52032,6950743,0.01%
GMO INTERNET GROUP INC,JP3152750000        ,1702,46868,0.00%
GODADDY INC,US3802371076        ,42787,13639405,0.03%
GODREJ CONSUMER PRODUCTS LTD,INE102D01028        ,20111,410533,0.00%
GOKURAKUYU HOLDINGS CO LTD,JP3387850005        ,8034,38062,0.00%
GOLD ROAD RESOURCES LTD,AU000000GOR5        ,22750984,46639518,0.09%
GOLDEN AGRI-RESOURCE LTD,MU0117U00026        ,146374,45924,0.00%
GOLDEN OCEAN GROUP LTD,BMG396372051        ,36506,517586,0.00%
GOLDMAN SACHS GROUP INC.,US38141G1040        ,47703,44118423,0.08%
GOODWIN ORD SHS,GB0003781050        ,173,27430,0.00%
GOOSEHEAD INSURANCE INC,US38267D1090        ,573,99159,0.00%
GPE BRUXELLES LAM NPV,BE0003797140        ,1003,110830,0.00%
GQG PARTNERS INC,AU0000180499        ,4549113,9416663,0.02%
GRAB HOLDINGS LTD,KYG4124C1096        ,28604,218056,0.00%
GRACO INC,US3841091040        ,2012,273860,0.00%
GRAFTON GROUP UT 1 ORD 1C ORD AND 17A ORD,IE00B00MZ448        ,7149,138777,0.00%
GRAINCORP LIMITED,AU000000GNC9        ,38784,284677,0.00%
GRAINGER W W INC,US3848021040        ,1716,2921469,0.01%
GRANITE CONSTRUCTION INC,US3873281071        ,1058,149882,0.00%
GREAT WALL MOTOR COMPANY H,CNE100000338        ,535847,1521911,0.00%
GREAT WEST LIFECO,CA39138C1068        ,3206,171632,0.00%
GREATLAND GOLD PLC,GB00B15XDH89        ,67008653,8620554,0.02%
GREENCORE GROUP PLC,IE0003864109        ,17809,69812,0.00%
GREGGS PLC,GB00B63QSB39        ,4272,240722,0.00%
GRIFFON CORPORATION,US3984331021        ,907,104366,0.00%
GRIFOLS SA,ES0171996087        ,2652,40568,0.00%
GRUPO CATALANA OCCIDENTE SA,ES0116920333        ,962,57735,0.00%
GSK PLC,GB00BN7SWP63        ,49872,1358351,0.00%
GUANGDONG LINGXIAO PUMP INA,CNE100002MZ3        ,104623,422952,0.00%
GUANGDONG TCL SMART HOME APPLIANCES ORD SHS A,CNE100001D05        ,43945,127577,0.00%
GUANGDONG VANWARD NEW ELECTRIC ORD SHS A,CNE100000ZT2        ,111562,252780,0.00%
GUANGSHEN RAILWAY CO LTD,CNE100000379        ,607344,272763,0.00%
GUANGZHO GUANGRI STOCK ORD SHS A,CNE000000JS9        ,217560,702841,0.00%
GUANGZHOU AUTOMOBILE GROUP,CNE100000Q35        ,1249047,885586,0.00%
GUIDEWIRE SOFTWARE INC,US40171V1008        ,12858,3500888,0.01%
GUODIAN NANJING AUTOMATION ORD SHS A,CNE0000010S3        ,335050,498201,0.00%
GUOSHENG FINANCIAL HOLDING INC,CNE100001D21        ,208202,603046,0.00%
GUOTAI JUNAN SECURITIES CO LTD,CNE1000022F3        ,90596,373865,0.00%
GUZMAN Y GOMEZ ORD SHS,AU0000336679        ,81710,3314986,0.01%
GWA GROUP LIMITED,AU000000GWA4        ,47202,114229,0.00%
H & R BLOCK INCORPORATED,US0936711052        ,19002,1621642,0.00%
H LUNDBECK A S SER B DKK1,DK0061804770        ,391448,3627520,0.01%
HAIDILAO INTERNATIONAL HOLDING LTD,KYG4290A1013        ,273861,905366,0.00%
HAIER SMART HOME ADR,US40523H1068        ,4514,102072,0.00%
HAITIAN INTERNATIONAL HOLDINGS LTD,KYG4232C1087        ,16169,70935,0.00%
HALEON PLC,GB00BMX86B70        ,7152042,54598305,0.10%
HALLIBURTON CO,US4062161017        ,42799,1879525,0.00%
HALMA PLC,GB0004052071        ,4568,248446,0.00%
HALOZYME THERAPEUTICS INC,US40637H1095        ,2988,230714,0.00%
HAMAT GROUP LTD,IL0003840167        ,10075,76593,0.00%
HAMILTON LANE INC,US4074971064        ,829,198240,0.00%
HANA FINANCIAL GROUP,KR7086790003        ,75838,4725919,0.01%
HANESBRANDS INC,US4103451021        ,125353,1648027,0.00%
HANG SENG BANK,HK0011000095        ,9052,179842,0.00%
HANKYU HANSHIN HOLDINGS NPV,JP3774200004        ,2577,109050,0.00%
HANNOVER RUECK SE,DE0008402215        ,725,292885,0.00%
HANSEN TECHNOLOGIES LIMITED,AU000000HSN3        ,42959,229828,0.00%
HANWA CO LTD,JP3777800008        ,687,35142,0.00%
HAREL INSURANCE INVESTMENTS AND FINANCIAL SERVICES LTD,IL0005850180        ,2926,65363,0.00%
HARGREAVES LANSDOWN PLC,GB00B1VZ0M25        ,4054,90041,0.00%
HARTFORD FINANCIAL SERVICES GROUP INC,US4165151048        ,27927,4934506,0.01%
HARVEY NORMAN HOLDINGS LTD,AU000000HVN7        ,429653,2006480,0.00%
HASBRO INC,US4180561072        ,9632,869771,0.00%
HASHICORP INC,US4181001037        ,3481,192353,0.00%
HAVAS NV,NL0015002AH0        ,8216,22292,0.00%
HAVELLS INDIA LTD,INE176B01034        ,20174,637529,0.00%
HAYS PLC,GB0004161021        ,56894,92470,0.00%
HAYWARD HOLDINGS INC,US4212981009        ,2906,71771,0.00%
HD HYUNDAI HEAVY INDUSTRIES CO LTD,KR7329180004        ,2457,775040,0.00%
HD HYUNDAI MARINE SOLUTION C,KR7443060009        ,5036,891765,0.00%
HDFC ASSET MANAGEMENT COMPANY LTD,INE127D01025        ,4365,345782,0.00%
HDFC BANK INR1,INE040A01034        ,1094881,36618399,0.07%
HDFC LIFE INSURANCE CO LTD,INE795G01014        ,127479,1483950,0.00%
HDHYUNDAI MARINE ENGINE,KR7071970008        ,1302,34928,0.00%
HEALIUS LTD ORDINARY FULLY PAID,AU0000033359        ,2442775,3346602,0.01%
HEICO CORP,US4228062083        ,8342,2506971,0.00%
HEICO CORP COM,US4228061093        ,1205,462788,0.00%
HEIDELBERGCEMENT AG,DE0006047004        ,1951,389240,0.00%
HEINEKEN HOLDING NV,NL0000008977        ,2152,208253,0.00%
HEINEKEN NV,NL0000009165        ,3465,398125,0.00%
HELIA GROUP LIMITED ORDINARY FULLY PAID,AU0000251498        ,61011,272721,0.00%
HELLO GROUP INC,US4234031049        ,3488,43433,0.00%
HELLOWORLD TRAVEL LIMITED,AU000000HLO6        ,39883,77971,0.00%
HEMNET GROUP AB,SE0015671995        ,2180,107052,0.00%
HENAN PINGGAO ELECTRIC CO LTD,CNE000001774        ,435690,1850993,0.00%
HENGDIAN GROUP TOSPO LIGHTING CO LTD,CNE100002Y33        ,121035,315221,0.00%
HENKEL AG & CO KGAA,DE0006048408        ,1184,147369,0.00%
HENKEL AG & CO KGAA NON VTG PREF,DE0006048432        ,2036,288435,0.00%
HENNES & MAURITZ,SE0000106270        ,6816,148545,0.00%
HENRY SCHEIN CORP COM,US8064071025        ,10127,1131807,0.00%
HERMES INTERNATIONAL,FR0000052292        ,381,1479409,0.00%
HESS CORP,US42809H1077        ,11457,2461347,0.00%
HEWLETT PACKARD CO,US40434L1052        ,115055,6063543,0.01%
HEWLETT PACKARD ENTERPRISE CO,US42824C1099        ,151158,5212361,0.01%
HEXAGON AB,SE0015961909        ,24980,385593,0.00%
HEXCEL CORP,US4282911084        ,2369,239926,0.00%
HF SINCLAIR CORPOR COM,US4039491000        ,1886,106761,0.00%
HIKARI TSUSHIN INC,JP3783420007        ,189,66827,0.00%
HIKMA PHARMACEUTICALS PLC,GB00B0LCW083        ,1897,76459,0.00%
HILL SMITH HOLDINGS PLC,GB0004270301        ,3186,120387,0.00%
HILTON FOOD GROUP PLC,GB00B1V9NW54        ,3716,68172,0.00%
HILTON WORLDWIDE H COM,US43300A2033        ,14512,5793049,0.01%
HIMS & HERS HEALTH ORD SHS CLASS A,US4330001060        ,4290,167529,0.00%
HINDALCO INDUSTRIES LTD,INE038A01020        ,35681,405525,0.00%
HINDUSTAN AERONAUT INR5 POST SUBD,INE066F01020        ,15411,1214764,0.00%
HINDUSTAN UNILEVER LIMITED,INE030A01027        ,17611,773059,0.00%
HINO MOTORS LTD,JP3792600003        ,310627,1806832,0.00%
HIROSE ELECTRIC JPY,JP3799000009        ,1254,241482,0.00%
HISAMITSU PHARMACEUTICAL CO,JP3784600003        ,1254,52639,0.00%
HISCOX LTD,BMG4593F1389        ,18288,400622,0.00%
HISENSE KELON ELECTRICAL HOLDINGS CO LTD,CNE100000353        ,109140,557100,0.00%
HITACHI CONSTRUCTION MACHINE,JP3787000003        ,943,34082,0.00%
HITACHI ENERGY INDIA LTD,INE07Y701011        ,1647,447721,0.00%
HITACHI NPV,JP3788600009        ,240423,9727534,0.02%
HITE JINRO CO LTD,KR7000080002        ,3727,79826,0.00%
HITEVISION ORD A,CNE100003Q16        ,271955,1415341,0.00%
HMC CAPITAL LTD,AU0000058943        ,18471,182124,0.00%
HOCHSCHILD MINING PLC,GB00B1FW5029        ,12763,55246,0.00%
HOEGH AUTOLINERS ORD SHS,NO0011082075        ,6929,111536,0.00%
HOKUHOKU FINANCIAL GROUP INC,JP3842400008        ,6927,136708,0.00%
HOLMEN AB SER B NPV,SE0011090018        ,678,40237,0.00%
HOLOGIC INC,US4364401012        ,13472,1568650,0.00%
HOME DEPOT INC,US4370761029        ,29712,18666799,0.04%
HON HAI PRECISION INDUSTRY,TW0002317005        ,1852390,16791359,0.03%
HONDA MOTOR CO LTD,JP3854600008        ,54000,851849,0.00%
HONEYWELL INTERNATIONAL INC,US4385161066        ,206476,75330499,0.14%
HONG KONG EXCHANGE & CLEARING,HK0388045442        ,98104,6013279,0.01%
HONG LEONG BANK BHD,MYL5819OO007        ,44616,331333,0.00%
HONG TAI ELECTRIC INDUSTRIAL ORD SHS,TW0001612000        ,213755,356986,0.00%
HORIBA LTD,JP3853000002        ,836,78621,0.00%
HORMEL FOODS CORPORATION,US4404521001        ,23161,1173476,0.00%
HORNBACH HOLDINGS AG AND CO KGAA,DE0006083405        ,11158,1354764,0.00%
HOSHIZAKI CORP,JP3845770001        ,1257,80936,0.00%
HOWMET AEROSPACE I COM USD,US4432011082        ,16641,2939511,0.01%
HOYA CORPORATION JPY,JP3837800006        ,13554,2760180,0.01%
HSBC HOLDINGS PLC,GB0005405286        ,3763562,59783575,0.11%
HUAZHU GROUP LIMIT SPONSORED,US44332N1063        ,259731,13855965,0.03%
HUAZHU GROUP LTD,KYG465871120        ,321806,1739662,0.00%
HUB24 LIMITED ORDINARY FULLY PAID,AU000000HUB4        ,76792,5344714,0.01%
HUBBELL INC,US4435106079        ,2595,1755991,0.00%
