Name/Kind of Investment Item,Stock ID,ISIN,ticker,exchCode,micCode,name,marketSector,compositeFIGI,HomeCountry,mapped_country,mapped_priority,Primary,PrimaryListingCountry,PrimaryTicker
CI FINANCIAL CORP C,CA1254911003,CA1254911003,CIXN,L1,,CI FINANCIAL CORP,Equity,BBG00Y7BN3X5,CA,IE,1.0,True,IE,CIXN
ZHUHAI COSMX BATTERY CO LTD A,CNE100005030,CNE100005030,688772,CG,,ZHUHAI COSMX BATTERY CO LT-A,Equity,BBG0032F9F31,CN,CN,1.0,True,CN,688772
360 DIGITECH INC,US88557W1018,US88557W1018,QFIN,UA,,QFIN HOLDINGS INC-ADR,Equity,BBG00MDY4KL0,US,US,1.0,True,US,QFIN
3I GROUP PLC,GB00B1YW4409,GB00B1YW4409,III,LN,,3I GROUP PLC,Equity,BBG000BZZ7W0,GB,GB,1.0,True,GB,III
3M CO,US88579Y1010,US88579Y1010,MMM,UA,,3M CO,Equity,BBG000BP52R2,US,US,1.0,True,US,MMM
4D MOLECULAR THERAPEUTICS INC,US35104E1001,US35104E1001,FDMT,UA,,4D MOLECULAR THERAPEUTICS IN,Equity,BBG00QG40R88,US,US,1.0,True,US,FDMT
4IMPRINT GROUP PLC,GB0006640972,GB0006640972,FOUR,LN,,4IMPRINT GROUP PLC,Equity,BBG000C7YM13,GB,GB,1.0,True,GB,FOUR
89BIO INC,US2825591033,US2825591033,ETNB,UA,,89BIO INC,Equity,BBG00QKDZ8J5,US,US,1.0,True,US,ETNB
A P MOLLER MAERSK AS,DK0010244425,DK0010244425,MAERSKA,DC,,AP MOLLER-MAERSK A/S-A,Equity,BBG000BLYFY2,DK,DK,1.0,True,DK,MAERSKA
A P MOLLER-MAERSK B,DK0010244508,DK0010244508,MAERSKB,DC,,AP MOLLER-MAERSK A/S-B,Equity,BBG000BLYM22,DK,DK,1.0,True,DK,MAERSKB
A2 MILK COMPANY LTD,NZATME0002S8,NZATME0002S8,ATM,NZ,,A2 MILK CO LTD,Equity,BBG000CXKHC0,NZ,NZ,1.0,True,NZ,ATM
AAC TECHNOLOGIES,KYG2953R1149,KYG2953R1149,AACAF,UV,,AAC TECHNOLOGIES HOLDINGS IN,Equity,BBG000C3S2Q6,KY,US,1.0,True,US,AACAF
AAON INC COM STK USD0.004,US0003602069,US0003602069,AAON,UA,,AAON INC,Equity,BBG000C2LZP3,US,US,1.0,True,US,AAON
ABB INDIA LTD,INE117A01022,INE117A01022,ABB,IB,,ABB INDIA LTD,Equity,BBG000CNH2P5,IN,IN,1.0,True,IN,ABB
ABB LTD,CH0012221716,CH0012221716,ABBN,BW,,ABB LTD-REG,Equity,BBG000DM2M32,CH,CH,1.0,True,CH,ABBN
ABBOTT LABS,US0028241000,US0028241000,ABT,UA,,ABBOTT LABORATORIES,Equity,BBG000B9ZXB4,US,US,1.0,True,US,ABT
ABBVIE INC COM,US00287Y1091,US00287Y1091,ABBV,UA,,ABBVIE INC,Equity,BBG0025Y4RY4,US,US,1.0,True,US,ABBV
ABERCROMBIE FITCH CO CL-A,US0028962076,US0028962076,ANF,UA,,ABERCROMBIE & FITCH CO-CL A,Equity,BBG000H9G7X2,US,US,1.0,True,US,ANF
ABM INDUSTRIES INC,US0009571003,US0009571003,ABM,UA,,ABM INDUSTRIES INC,Equity,BBG000B9YYH7,US,US,1.0,True,US,ABM
ABN AMRO BANK N V DR EACH REP SHS,NL0011540547,NL0011540547,ABNA,T1,,ABN AMRO BANK NV-CVA,Equity,BBG00NLKB605,NL,NL,1.0,True,NL,ABNA
ABN AMRO BK AMSTM BRH UN ADR REP ORD SHS,US00080Q1058,US00080Q1058,AAVMY,PQ,,ABN AMRO BANK NV-UNSP ADR,Equity,BBG00PXGLFG8,US,US,1.0,True,US,AAVMY
ACCELLERON N ORD SHS,CH1169360919,CH1169360919,ACLN,SE,,ACCELLERON INDUSTRIES AG,Equity,BBG018XV6BB3,CH,CH,1.0,True,CH,ACLN
ACCENT GROUP LIMITED,AU000000AX19,AU000000AX19,AX1,AT,,ACCENT GROUP LTD,Equity,BBG000CHSVJ9,AU,AU,1.0,True,AU,AX1
ACCENTURE PLC,IE00B4BNMY34,IE00B4BNMY34,CSAD,PO,,ACCENTURE PLC-CL A,Equity,BBG01R2TDBP7,IE,IE,1.0,True,IE,CSAD
ACCOR SA,FR0000120404,FR0000120404,AC,FP,,ACCOR SA,Equity,BBG000BB48R1,FR,FR,1.0,True,FR,AC
ACCTON TECHNOLOGY CORPORATION,TW0002345006,TW0002345006,ACTZF,UV,,ACCTON TECHNOLOGY CORP,Equity,BBG000JJY152,TW,US,1.0,True,US,ACTZF
ACI WORLDWIDE INC,US0044981019,US0044981019,ACIW,UA,,ACI WORLDWIDE INC,Equity,BBG000PMBV39,US,US,1.0,True,US,ACIW
ACKERMANS & VAN HAAREN NV,BE0003764785,BE0003764785,ACKB,BB,,ACKERMANS & VAN HAAREN,Equity,BBG000BPWG46,BE,BE,1.0,True,BE,ACKB
ACOM CO LTD JPY,JP3108600002,JP3108600002,8572,JT,,ACOM CO LTD,Equity,BBG000BKH691,JP,JP,1.0,True,JP,8572
ACS ACTIVIDADES CO EUR 0.5 RFD JANUARY 2024,ES0167050915,ES0167050915,ACS,SQ,,ACS ACTIVIDADES CONS Y SERV,Equity,BBG000BMW3R7,ES,ES,1.0,True,ES,ACS
ACUITY BRANDS INC,US00508Y1029,US00508Y1029,AYI,UA,,ACUITY INC,Equity,BBG000BJ5HK0,US,US,1.0,True,US,AYI
ADDTECH AB SER B NPV,SE0014781795,SE0014781795,ADDTB,SS,,ADDTECH AB-B SHARES,Equity,BBG000D22M36,SE,SE,1.0,True,SE,ADDTB
ADECCO GROUP AG,CH0012138605,CH0012138605,ADEN,BW,,ADECCO GROUP AG-REG,Equity,BBG000BSK6S9,CH,CH,1.0,True,CH,ADEN
ADIDAS AG,DE000A1EWWW0,DE000A1EWWW0,ADS,GF,,ADIDAS AG,Equity,BBG000FR1Q22,DE,DE,1.0,True,DE,ADS
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,INE055A01016,ABREL,IB,,ADITYA BIRLA REAL ESTATE LTD,Equity,BBG000CPTX42,IN,IN,1.0,True,IN,ABREL
ADMA BIOLOGICS INC,US0008991046,US0008991046,ADMA,UA,,ADMA BIOLOGICS INC,Equity,BBG002NCK5M5,US,US,1.0,True,US,ADMA
ADMIRAL GROUP PLC,GB00B02J6398,GB00B02J6398,ADM,LN,,ADMIRAL GROUP PLC,Equity,BBG000PG2G17,GB,GB,1.0,True,GB,ADM
ADOBE INC COM,US00724F1012,US00724F1012,ADBE,UA,,ADOBE INC,Equity,BBG000BB5006,US,US,1.0,True,US,ADBE
ADRIATIC METALS PLC CHESS DEPOSITARY INTERESTS 1 1,AU0000004772,AU0000004772,ADT,AT,,ADRIATIC METALS PLC-CDI,Equity,BBG00K9D8GR4,AU,AU,1.0,True,AU,ADT
ADT INC,US00090Q1031,US00090Q1031,ADT,UA,,ADT INC,Equity,BBG000BP9WJ1,US,US,1.0,True,US,ADT
ADVANCED MICRO DEVICES,US0079031078,US0079031078,AMD,UA,,ADVANCED MICRO DEVICES,Equity,BBG000BBQCY0,US,US,1.0,True,US,AMD
ADVANTEST CORP,JP3122400009,JP3122400009,6857,JT,,ADVANTEST CORP,Equity,BBG000BGN014,JP,JP,1.0,True,JP,6857
ADYEN NV,NL0012969182,NL0012969182,ADYENA,T1,,ADYEN NV,Equity,BBG00NLKB8Q3,NL,NL,1.0,True,NL,ADYENA
AECOM,US00766T1007,US00766T1007,ACM,UA,,AECOM,Equity,BBG000F61RJ8,US,US,1.0,True,US,ACM
AEGON ORD SHS,BMG0112X1056,BMG0112X1056,AGN,XH,,AEGON LTD,Equity,BBG000N85WF4,BM,HU,1.0,True,HU,AGN
AEON CO LTD,JP3388200002,JP3388200002,8267,JT,,AEON CO LTD,Equity,BBG000BN0FD8,JP,JP,1.0,True,JP,8267
AEON CREDIT SERVICE CO LTD,JP3131400008,JP3131400008,8570,JT,,AEON FINANCIAL SERVICE CO LT,Equity,BBG000DR42B4,JP,JP,1.0,True,JP,8570
AERCAP HOLDINGS NV,NL0000687663,NL0000687663,AER1EUR,X2,,AERCAP HOLDINGS NV,Equity,BBG00D0MZBQ1,NL,NL,1.0,True,NL,AER1EUR
AES CORP,US00130H1059,US00130H1059,AES,UA,,AES CORP,Equity,BBG000C23KJ3,US,US,1.0,True,US,AES
AFLAC INC,US0010551028,US0010551028,AFL,UA,,AFLAC INC,Equity,BBG000BBBNC6,US,US,1.0,True,US,AFL
AGC INC,JP3112000009,JP3112000009,5201,JT,,AGC INC,Equity,BBG000BG8RD9,JP,JP,1.0,True,JP,5201
AGEAS NPV POST SPLIT,BE0974264930,BE0974264930,AGS,BB,,AGEAS,Equity,BBG000BPXH52,BE,BE,1.0,True,BE,AGS
AGILENT TECHNOLOGIES INC,US00846U1016,US00846U1016,A,UA,,AGILENT TECHNOLOGIES INC,Equity,BBG000C2V3D6,US,US,1.0,True,US,A
AGNICO EAGLE MINES,CA0084741085,CA0084741085,AEM,CT,,AGNICO EAGLE MINES LTD,Equity,BBG000CZ8PQ6,CA,CA,1.0,True,CA,AEM
AGRICULTURAL BANK OF CHINA,CNE100000Q43,CNE100000Q43,ACGBF,UV,,AGRICULTURAL BANK OF CHINA-H,Equity,BBG0016RL5W1,CN,US,1.0,True,US,ACGBF
AGS ORD SHS,JP3160460006,JP3160460006,3648,JT,,AGS CORP,Equity,BBG001BW9H25,JP,JP,1.0,True,JP,3648
AIA GROUP LTD,HK0000069689,HK0000069689,1299,HK,,AIA GROUP LTD,Equity,BBG000QDY5F7,HK,HK,1.0,True,HK,1299
AIB GROUP PLC,IE00BF0L3536,IE00BF0L3536,AIBG,ID,,AIB GROUP PLC,Equity,BBG00JCPQSX3,IE,IE,1.0,True,IE,AIBG
AIB GROUP PLC UNSPONSORED ADR,US00135T1043,US00135T1043,AIBGY,PQ,,AIB GROUP PLC-UNSP ADR,Equity,BBG00JX8H309,US,US,1.0,True,US,AIBGY
AIR CANADA VAR VTG SHS NPV,CA0089118776,CA0089118776,AC,CT,,AIR CANADA,Equity,BBG000PV7F57,CA,CA,1.0,True,CA,AC
AIR LIQUIDE,FR0000120073,FR0000120073,AI,FP,,AIR LIQUIDE SA,Equity,BBG000BLGLP9,FR,FR,1.0,True,FR,AI
AIR PROD & CHEMS INC COM USD,US0091581068,US0091581068,APD,UA,,AIR PRODUCTS & CHEMICALS INC,Equity,BBG000BC4JJ4,US,US,1.0,True,US,APD
AIR WATER INC,JP3160670000,JP3160670000,4088,JT,,AIR WATER INC,Equity,BBG000BK7K19,JP,JP,1.0,True,JP,4088
AIRASIA BHD,MYL5099OO006,MYL5099OO006,CAPITALA,MK,,CAPITAL A BHD,Equity,BBG00KFNRJ07,MY,MY,1.0,True,MY,CAPITALA
AIRBNB INC,US0090661010,US0090661010,ABNB,UA,,AIRBNB INC-CLASS A,Equity,BBG001Y2XS07,US,US,1.0,True,US,ABNB
AIRBUS SE,NL0000235190,NL0000235190,AIRD,T1,,AIRBUS SE,Equity,BBG00NLK9Y89,NL,NL,1.0,True,NL,AIRD
AIRTAC INTERNATIONAL GROUP,KYG014081064,KYG014081064,ATCXF,UV,,AIRTAC INTERNATIONAL GROUP,Equity,BBG00LLNSV55,KY,US,1.0,True,US,ATCXF
AISIN SEIKI CO LTD,JP3102000001,JP3102000001,7259,JT,,AISIN CORP,Equity,BBG000BMCGL6,JP,JP,1.0,True,JP,7259
AJ BELL PLC,GB00BFZNLB60,GB00BFZNLB60,AJB,LN,,AJ BELL PLC,Equity,BBG002XXKSV8,GB,GB,1.0,True,GB,AJB
AJINOMOTO CO INC JPY,JP3119600009,JP3119600009,2802,JT,,AJINOMOTO CO INC,Equity,BBG000BJ8LL7,JP,JP,1.0,True,JP,2802
AKAMAI TECHNOLOGIES,US00971T1016,US00971T1016,AKAM,UA,,AKAMAI TECHNOLOGIES INC,Equity,BBG000BJQWD2,US,US,1.0,True,US,AKAM
AKER BP ASA NOK1,NO0010345853,NO0010345853,AKRBP,NO,,AKER BP ASA,Equity,BBG000QJ5PT7,NO,NO,1.0,True,NO,AKRBP
AKERO THERAPEUTICS INC,US00973Y1082,US00973Y1082,AKRO,UA,,AKERO THERAPEUTICS INC,Equity,BBG00L9211Y8,US,US,1.0,True,US,AKRO
AKZO NOBEL NV,NL0013267909,NL0013267909,AKZA,X9,,AKZO NOBEL N.V.,Equity,BBG00YJ7V941,NL,NL,1.0,True,NL,AKZA
ALAMOS GOLD INC,CA0115321089,CA0115321089,AGI,CT,,ALAMOS GOLD INC-CLASS A,Equity,BBG009HT65R1,CA,CA,1.0,True,CA,AGI
ALARM.COM HOLDINGS INC,US0116421050,US0116421050,ALRM,UA,,ALARM.COM HOLDINGS INC,Equity,BBG007GNPYY7,US,US,1.0,True,US,ALRM
ALBERMARLE CORP,US0126531013,US0126531013,ALB,UA,,ALBEMARLE CORP,Equity,BBG000BJ26K7,US,US,1.0,True,US,ALB
ALBERTSONS COMPANIES INC,US0130911037,US0130911037,ACI,UA,,ALBERTSONS COS INC - CLASS A,Equity,BBG009KG1750,US,US,1.0,True,US,ACI
ALCOA CORPORATION CDI 1 1 FOREIGN EXEMPT DEFERRED SETTLEMENT,AU0000339426,AU0000339426,AAI,AT,,ALCOA CORP-CDI,Equity,BBG01NCLRPJ3,AU,AU,1.0,True,AU,AAI
ALCON AG,CH0432492467,CH0432492467,ALC,SE,,ALCON INC,Equity,BBG00NPWGYJ9,CH,CH,1.0,True,CH,ALC
ALFA FINANCIAL SOFTWARE HOLDINGS ORDINARY SHARES,GB00BDHXPG30,GB00BDHXPG30,ALFA,LN,,ALFA FINANCIAL SOFTWARE HOLD,Equity,BBG00GNN1MP1,GB,GB,1.0,True,GB,ALFA
ALFA LAVAL AB,SE0000695876,SE0000695876,ALFA,SS,,ALFA LAVAL AB,Equity,BBG000BGXTP4,SE,SE,1.0,True,SE,ALFA
ALFRESA HOLDINGS CORP,JP3126340003,JP3126340003,2784,JT,,ALFRESA HOLDINGS CORP,Equity,BBG000Q04BP4,JP,JP,1.0,True,JP,2784
ALGOMA STEEL GROUP INC,CA0156581070,CA0156581070,ASTL,CT,,ALGOMA STEEL GROUP INC,Equity,BBG012NKXXX9,CA,CA,1.0,True,CA,ASTL
ALIBABA GROUP HOLDING LTD,KYG017191142,KYG017191142,BABAF,PQ,,ALIBABA GROUP HOLDING LTD,Equity,BBG00QZ8C244,KY,US,1.0,True,US,BABAF
ALIBABA GROUP HOLDING LTD,US01609W1027,US01609W1027,BABA,UA,,ALIBABA GROUP HOLDING-SP ADR,Equity,BBG006G2JVL2,US,US,1.0,True,US,BABA
ALIGN TECHNOLOGY INC,US0162551016,US0162551016,ALGN,UA,,ALIGN TECHNOLOGY INC,Equity,BBG000BRNLL2,US,US,1.0,True,US,ALGN
ALIMENTATION COUCHE TARD INC,CA01626P1484,CA01626P1484,ATD,CT,,ALIMENTATION COUCHE-TARD INC,Equity,BBG000DMT4D2,CA,CA,1.0,True,CA,ATD
ALIOR BANK SA,PLALIOR00045,PLALIOR00045,ALR,PW,,ALIOR BANK SA,Equity,BBG000P69S52,PL,PL,1.0,True,PL,ALR
ALKAMI TECHNOLOGY INC,US01644J1088,US01644J1088,ALKT,UA,,ALKAMI TECHNOLOGY INC,Equity,BBG005HTCT54,US,US,1.0,True,US,ALKT
ALLEGION PLC,IE00BFRT3W74,IE00BFRT3W74,ALLEEUR,XF,,ALLEGION PLC,Equity,BBG008B3P4G0,IE,IE,1.0,True,IE,ALLEEUR
ALLIANCE AVIATION SERVICES LIMITED,AU000000AQZ6,AU000000AQZ6,AQZ,AT,,ALLIANCE AVIATION SERVICES L,Equity,BBG0029TR2P1,AU,AU,1.0,True,AU,AQZ
ALLIANCE DATA SYSTEMS CORP,US0185811082,US0185811082,BFH,UA,,BREAD FINANCIAL HOLDINGS INC,Equity,BBG000BFNR17,US,US,1.0,True,US,BFH
ALLIANZ SE-REG,DE0008404005,DE0008404005,ALV,GF,,ALLIANZ SE-REG,Equity,BBG000BBF8T7,DE,DE,1.0,True,DE,ALV
ALLIANZ SE UNSPONSORED ADR EA REP 1 10 ORD,US0188201000,US0188201000,ALIZY,PQ,,ALLIANZ SE - UNSP ADR,Equity,BBG00R9J1JQ8,US,US,1.0,True,US,ALIZY
ALLISON TRANSMISSION HOLDINGS INC,US01973R1014,US01973R1014,ALSN,UA,,ALLISON TRANSMISSION HOLDING,Equity,BBG001KY3845,US,US,1.0,True,US,ALSN
ALLSTATE CORP,US0200021014,US0200021014,ALL,UA,,ALLSTATE CORP,Equity,BBG000BVMGF2,US,US,1.0,True,US,ALL
ALLY FINANCIAL INC,US02005N1000,US02005N1000,ALLY,UA,,ALLY FINANCIAL INC,Equity,BBG000BC2R71,US,US,1.0,True,US,ALLY
ALNYLAM PHARMACEUTICALS INC,US02043Q1076,US02043Q1076,ALNY,UA,,ALNYLAM PHARMACEUTICALS INC,Equity,BBG000BFGNJ5,US,US,1.0,True,US,ALNY
ALPHA GROUP INTERNATIONAL ORD SHS,GB00BF1TM596,GB00BF1TM596,ALPH,LN,,ALPHA GROUP INTERNATIONAL PL,Equity,BBG00GBDRDP8,GB,GB,1.0,True,GB,ALPH
ALPHABET INC CLASS C EQUITY,US02079K1079,US02079K1079,GOOG,UA,,ALPHABET INC-CL C,Equity,BBG009S3NB30,US,US,1.0,True,US,GOOG
ALPHABET INC CLASS A EQUITY,US02079K3059,US02079K3059,GOOGL,UA,,ALPHABET INC-CL A,Equity,BBG009S39JX6,US,US,1.0,True,US,GOOGL
ALS LIMITED,AU000000ALQ6,AU000000ALQ6,ALQ,AT,,ALS LTD,Equity,BBG000BRV2C5,AU,AU,1.0,True,AU,ALQ
ALSTOM SA,FR0010220475,FR0010220475,ALO,FP,,ALSTOM,Equity,BBG000DQ77T3,FR,FR,1.0,True,FR,ALO
ALUMINUM CORPORATION OF CHINA LTD,CNE1000001T8,CNE1000001T8,AOC,GF,,ALUMINUM CORP OF CHINA LTD-H,Equity,BBG000HRNDX1,CN,DE,1.0,True,DE,AOC
AMADA CO LTD,JP3122800000,JP3122800000,6113,JT,,AMADA CO LTD,Equity,BBG000BLGN39,JP,JP,1.0,True,JP,6113
"AMADEUS IT GROUP, S.A.",ES0109067019,ES0109067019,AMS,SQ,,AMADEUS IT GROUP SA,Equity,BBG000QSDXN7,ES,ES,1.0,True,ES,AMS
AMANO CORP,JP3124400007,JP3124400007,6436,JT,,AMANO CORP,Equity,BBG000BBWMW3,JP,JP,1.0,True,JP,6436
AMAZON COM INC,US0231351067,US0231351067,AMZN,UA,,AMAZON.COM INC,Equity,BBG000BVPV84,US,US,1.0,True,US,AMZN
AMCOR PLC CDI,AU000000AMC4,AU000000AMC4,AMC,AT,,AMCOR PLC-CDI,Equity,BBG00LNJRW24,AU,AU,1.0,True,AU,AMC
AMCOR PLC COM USD,JE00BJ1F3079,JE00BJ1F3079,AMCR,UA,,AMCOR PLC,Equity,BBG00LNJRQ09,JE,US,1.0,True,US,AMCR
AMER SPORTS INC,KYG0260P1028,KYG0260P1028,AS,UA,,AMER SPORTS INC,Equity,BBG01KWR26Q5,KY,US,1.0,True,US,AS
AMERCO COM,US0235865062,US0235865062,UHAL/B,UA,,U-HAUL HOLDING CO-NON VOTING,Equity,BBG01B6SGB59,US,US,1.0,True,US,UHAL/B
AMERICAN AIRLINES COM USD1,US02376R1023,US02376R1023,AAL,UA,,AMERICAN AIRLINES GROUP INC,Equity,BBG005P7Q881,US,US,1.0,True,US,AAL
AMERICAN EAGLE OUTFITTERS INC,US02553E1064,US02553E1064,AEO,UA,,AMERICAN EAGLE OUTFITTERS,Equity,BBG000BGXZB5,US,US,1.0,True,US,AEO
AMERICAN EXPRESS USD,US0258161092,US0258161092,AXP,UA,,AMERICAN EXPRESS CO,Equity,BBG000BCQZS4,US,US,1.0,True,US,AXP
AMERICAN FINANCIAL GROUP INC,US0259321042,US0259321042,AFG,UA,,AMERICAN FINANCIAL GROUP INC,Equity,BBG000DPKKK0,US,US,1.0,True,US,AFG
AMERICAN INTERNATIONAL GROUP,US0268747849,US0268747849,AIG,UA,,AMERICAN INTERNATIONAL GROUP,Equity,BBG000BBDZG3,US,US,1.0,True,US,AIG
AMERIPRISE FINANCIAL INC,US03076C1062,US03076C1062,AMP,UA,,AMERIPRISE FINANCIAL INC,Equity,BBG000G3QLY3,US,US,1.0,True,US,AMP
AMERIS BANCORP,US03076K1088,US03076K1088,ABCB,UA,,AMERIS BANCORP,Equity,BBG000CDY3H5,US,US,1.0,True,US,ABCB
AMETEK INC,US0311001004,US0311001004,AME,UA,,AMETEK INC,Equity,BBG000B9XG87,US,US,1.0,True,US,AME
AMGEN INC,US0311621009,US0311621009,AMGN,UA,,AMGEN INC,Equity,BBG000BBS2Y0,US,US,1.0,True,US,AMGN
AMICUS THERAPEUTICS INC,US03152W1099,US03152W1099,FOLD,UA,,AMICUS THERAPEUTICS INC,Equity,BBG000PLF6N0,US,US,1.0,True,US,FOLD
AMOTIV LIMITED ORDINARY FULLY PAID,AU0000340770,AU0000340770,AOV,AT,,AMOTIV LTD,Equity,BBG000BRSJ32,AU,AU,1.0,True,AU,AOV
AMP LIMITED,AU000000AMP6,AU000000AMP6,AMP,AT,,AMP LTD,Equity,BBG000C2W693,AU,AU,1.0,True,AU,AMP
AMPHENOL ORD SHS CLASS A,US0320951017,US0320951017,APH,UA,,AMPHENOL CORP-CL A,Equity,BBG000B9YJ35,US,US,1.0,True,US,APH
AMPLIFON SPA,IT0004056880,IT0004056880,AMP,IM,,AMPLIFON SPA,Equity,BBG000FZG8V6,IT,IT,1.0,True,IT,AMP
AMPOL LIMITED ORDINARY FULLY PAID,AU0000088338,AU0000088338,ALD,AT,,AMPOL LTD,Equity,BBG000BKC8M7,AU,AU,1.0,True,AU,ALD
AMUNDI SA,FR0004125920,FR0004125920,AMUN,FP,,AMUNDI SA,Equity,BBG0032HMZN6,FR,FR,1.0,True,FR,AMUN
ANA HOLDINGS INC,JP3429800000,JP3429800000,9202,JT,,ANA HOLDINGS INC,Equity,BBG000BH20P9,JP,JP,1.0,True,JP,9202
ANALOG DEVICES INCORPORATED COM,US0326541051,US0326541051,ADI,UA,,ANALOG DEVICES INC,Equity,BBG000BB6G37,US,US,1.0,True,US,ADI
ANDRITZ AG,AT0000730007,AT0000730007,ANDR,AV,,ANDRITZ AG,Equity,BBG000DMZS88,AT,AT,1.0,True,AT,ANDR
ANGLO AMERICAN PLC,GB00B1XZS820,GB00B1XZS820,,,,,,,GB,,,True,GB,
ANGLOGOLD ASHANTI ORD SHS,GB00BRXH2664,GB00BRXH2664,HT3D,L3,,ANGLOGOLD ASHANTI PLC,Equity,BBG01R2H3P37,GB,GB,1.0,True,GB,HT3D
ANHEUSER BUSCH INBEV SA NV,BE0974293251,BE0974293251,ABI,BB,,ANHEUSER-BUSCH INBEV SA/NV,Equity,BBG00DQ4YZ36,BE,BE,1.0,True,BE,ABI
ANHUI CONSTRUCTION ENGINEERING GROUP CORP LTD,CNE000001DV4,CNE000001DV4,600502,CG,,ANHUI CONSTRUCTION ENG-A,Equity,BBG000GVT029,CN,CN,1.0,True,CN,600502
ANIMA HOLDINGS SPA,IT0004998065,IT0004998065,ANIM,IM,,ANIMA HOLDING SPA,Equity,BBG0065XJJ79,IT,IT,1.0,True,IT,ANIM
ANSELL LIMITED,AU000000ANN9,AU000000ANN9,ANN,AT,,ANSELL LTD,Equity,BBG000D9RSX8,AU,AU,1.0,True,AU,ANN
ANSYS INC,US03662Q1058,US03662Q1058,AKX,GB,,ANSYS INC,Equity,BBG000KR75S8,US,DE,1.0,True,DE,AKX
ANTA SPORTS PRODUCTS LTD,KYG040111059,KYG040111059,ANPDF,UV,,ANTA SPORTS PRODUCTS LTD,Equity,BBG000S1R2Q4,KY,US,1.0,True,US,ANPDF
ANTOFAGASTA PLC,GB0000456144,GB0000456144,ANTO,LN,,ANTOFAGASTA PLC,Equity,BBG000BD4S48,GB,GB,1.0,True,GB,ANTO
ANTON OILFIELD SERVICES GROUP,KYG039991024,KYG039991024,ATONF,UV,,ANTON OILFIELD SERVICES GP,Equity,BBG000RSY876,KY,US,1.0,True,US,ATONF
ANZ GROUP HOLDINGS LIMITED ORDINARY FULLY PAID,AU000000ANZ3,AU000000ANZ3,ANZ,AT,,ANZ GROUP HOLDINGS LTD,Equity,BBG01B9NC3D0,AU,AU,1.0,True,AU,ANZ
AO WORLD PLC,GB00BJTNFH41,GB00BJTNFH41,AOL,IX,,AO WORLD PLC,Equity,BBG0062RZMR8,GB,GB,1.0,True,GB,AOL
AON PLC IE COM CL A,IE00BLP1HW54,IE00BLP1HW54,4VKD,PO,,AON PLC-CLASS A,Equity,BBG01RQ574G6,IE,IE,1.0,True,IE,4VKD
APA CORPORATION COM USD0.625,US03743Q1085,US03743Q1085,APA,UA,,APA CORP,Equity,BBG00YTS96G2,US,US,1.0,True,US,APA
APAR INDUSTRY LTD ORD SHS,INE372A01015,INE372A01015,APR,IB,,APAR INDUSTRIES LTD,Equity,BBG000L6NXK2,IN,IN,1.0,True,IN,APR
APELLIS PHARMACEUTICALS INC,US03753U1060,US03753U1060,APLS,UA,,APELLIS PHARMACEUTICALS INC,Equity,BBG007KGRPY4,US,US,1.0,True,US,APLS
APOGEE THERAPEUTICS INC,US03770N1019,US03770N1019,APGE,UA,,APOGEE THERAPEUTICS INC,Equity,BBG01H51WYQ5,US,US,1.0,True,US,APGE
APOLLO GLOBAL MANAGEMENT INC,US03769M1062,US03769M1062,APO,UA,,APOLLO GLOBAL MANAGEMENT INC,Equity,BBG00ZNLTFK3,US,US,1.0,True,US,APO
APPEN LIMITED ORDINARY,AU000000APX3,AU000000APX3,APX,AT,,APPEN LTD,Equity,BBG007NJYHP5,AU,AU,1.0,True,AU,APX
APPFOLIO INC ORD,US03783C1009,US03783C1009,APPF,UA,,APPFOLIO INC - A,Equity,BBG008GC8CP6,US,US,1.0,True,US,APPF
APPLE INC,US0378331005,US0378331005,AAPL,UA,,APPLE INC,Equity,BBG000B9XRY4,US,US,1.0,True,US,AAPL
APPLIED MATERIALS US,US0382221051,US0382221051,AMAT,UA,,APPLIED MATERIALS INC,Equity,BBG000BBPFB9,US,US,1.0,True,US,AMAT
APPLOVIN CORP,US03831W1080,US03831W1080,APP,UA,,APPLOVIN CORP-CLASS A,Equity,BBG006HFPX77,US,US,1.0,True,US,APP
APTIV PLC NEW ORD USD0.01,JE00BTDN8H13,JE00BTDN8H13,APTV,UA,,APTIV PLC,Equity,BBG01R914LT5,JE,US,1.0,True,US,APTV
ARAMIS GROUP SAS,FR0014003U94,FR0014003U94,ARAMI,FP,,ARAMIS GROUP SAS,Equity,BBG011C9QTM7,FR,FR,1.0,True,FR,ARAMI
ARB CORPORATION LIMITED ORDINARY FULLY PAID,AU000000ARB5,AU000000ARB5,ARB,AT,,ARB CORP LTD,Equity,BBG000BFQ4P9,AU,AU,1.0,True,AU,ARB
ARC RESOURCES COM NPV,CA00208D4084,CA00208D4084,ARX,CT,,ARC RESOURCES LTD,Equity,BBG000H21KT9,CA,CA,1.0,True,CA,ARX
ARCADIS NV,NL0006237562,NL0006237562,ARCAD,X9,,ARCADIS NV,Equity,BBG00YMYGVD6,NL,NL,1.0,True,NL,ARCAD
ARCADIUM LITHIUM CDI DEFEERED,AU0000305724,AU0000305724,LTMAUD,X2,,ARCADIUM LITHIUM PLC-CDI,Equity,BBG01KXTLVV8,AU,NL,1.0,True,NL,LTMAUD
ARCELLX INC,US03940C1009,US03940C1009,ACLX,UA,,ARCELLX INC,Equity,BBG00QHJM4S9,US,US,1.0,True,US,ACLX
