WATERS CORPORATION,US9418481035        ,162,97336,0.00%
WATSCO INC,US9426222009        ,48,36967,0.00%
WEB TRAVEL GROUP LIMITED ORDINARY FULLY PAID,AU000000WEB7        ,17854,81952,0.00%
WEBJET GROUP LTD,AU0000350118        ,17854,15533,0.00%
WEG SA,BRWEGEACNOR0        ,94037,1297334,0.02%
WEG SA SPONSORED ADR,US94858P2092        ,913,13708,0.00%
WEICHAI POWER CO LTD,CNE1000004L9        ,78446,193770,0.00%
WELLS FARGO & COMPANY,US9497461015        ,107101,12150172,0.15%
WESFARMERS LIMITED,AU000000WES1        ,708704,50693627,0.62%
WEST FRASER TIMBER CO,CA9528451052        ,69,9651,0.00%
WEST JAPAN RAILWAY NPV,JP3659000008        ,552,15866,0.00%
WEST PHARMACEUTICAL SERVICES,US9553061055        ,198,104820,0.00%
WESTERN DIGITAL CORP,US9581021055        ,2540,244580,0.00%
WESTLAKE CORP,US9604131022        ,48,8944,0.00%
WESTPAC BANKING CORPORATION CAP NOTE 3-BBSW+2.90% PERP NON-CUM RED T-09-29,AU0000172470        ,282494,29444387,0.36%
WESTPAC BANKING CORPORATION,AU0000306557        ,95,9978,0.00%
WESTPAC BANKING CORPORATION,AU000000WBC1        ,1820567,58840723,0.71%
WESTPAC BANKING CORPORATION CAP NOTE 3-BBSW+3.40% PERP NON-CUM RED T-09-28,AU0000229452        ,299438,31527786,0.38%
WESTPAC BANKING CORPORATION CAP NOTE 3-BBSW+3.20% PERP NON-CUM RED T-09-25,AU0000000564        ,36000,3654362,0.04%
WESTPAC BANKING CORPORATION CAP NOTE 3-BBSW+3.40% PERP NON-CUM RED T-03-27,AU0000114837        ,51255,5337149,0.06%
WH GROUP LTD,KYG960071028        ,10419,13019,0.00%
WHEATON PRECIOUS METALS,CA9628791027        ,600,54543,0.00%
WHITBREAD PLC,GB00B1KJJ408        ,231,13749,0.00%
WILL GROUP INC,JP3154160000        ,1307,13557,0.00%
WILLIAMS SONOMA ORD SHS,US9699041011        ,166,49527,0.00%
WILLIS TOWERS WATSON,IE00BDB6Q211        ,264,133579,0.00%
WILMAR INTERNATIONAL LTD,SG1T56930848        ,2401,8812,0.00%
WISE CL A ORD SHS,GB00BL9YR756        ,1020,21991,0.00%
WISETECH GLOBAL LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU000000WTC3        ,20489,2480384,0.03%
WIX COM LTD,IL0011301780        ,976,338172,0.00%
WIZZ AIR HOLDINGS PLC,JE00BN574F90        ,469,13657,0.00%
WM TECHNOLOGY INC,US92971A1097        ,8539,19032,0.00%
WOLTERS KLUWER,NL0000395903        ,451,120991,0.00%
WOODSIDE ENERGY GROUP LTD ORDINARY FULLY PAID,AU0000224040        ,238828,5875165,0.07%
WOOLWORTHS GROUP LIMITED ORDINARY FULLY PAID,AU000000WOW2        ,773220,23575468,0.29%
WOORI TECHNOLOGY INVESTMENT ORD SHS,KR7041190000        ,6406,48636,0.00%
WORKDAY INC,US98138H1014        ,1559,649674,0.01%
WORLEY LIMITED,AU000000WOR2        ,5787,79280,0.00%
WPP PLC,JE00B8KF9B49        ,1424,23838,0.00%
WR BERKLEY ORD SHS,US0844231029        ,15333,1449223,0.02%
WSP GLOBAL INC,CA92938W2022        ,172,49001,0.00%
WUXI RURAL COMMERCIAL BANKA,CNE1000030K6        ,100241,131087,0.00%
WYNN RESORTS LTD,US9831341071        ,315,43789,0.00%
XENON PHARMACEUTICALS INC,CA98420N1050        ,6534,413666,0.01%
XERO LIMITED ORDINARY FULLY PAID,NZXROE0001S2        ,15205,2562912,0.03%
XIAMEN XIANGYU CO LTD,CNE000000QN5        ,73870,106082,0.00%
XIAOMI CORP,KYG9830T1067        ,131282,941718,0.01%
XINGTONG SHIPPING CO LTD A,CNE1000059M1        ,17335,61294,0.00%
XP INC,KYG982391099        ,28651,548351,0.01%
XP INC BDR EACH 1 REP 1 COM A,BRXPBRBDR001        ,10531,201837,0.00%
XPS PENSIONS GROUP PLC,GB00BDDN1T20        ,1436,9903,0.00%
XYLEM INC COM,US98419M1009        ,641,120075,0.00%
Y MABS THERAPEUTIC COM,US9842411095        ,10446,132110,0.00%
YAKULT HONSHA,JP3931600005        ,6368,195474,0.00%
YAMAHA CORP JPY50,JP3942600002        ,5640,65464,0.00%
YAMAHA MOTOR CO,JP3942800008        ,1221,17627,0.00%
YANGTZE OPTICAL FIBRE AND CABLE JOINT STOCK CO LTD,CNE100001T72        ,12519,31809,0.00%
YANGZIJIANG SHIPBUILDING NPV,SG1U76934819        ,4216,14923,0.00%
YARA INTERNATIONAL ASA,NO0010208051        ,207,8857,0.00%
YASKAWA ELECTRIC CORP,JP3932000007        ,448,18745,0.00%
YD MORE INVESTMENTS LTD,IL0011414641        ,2234,14756,0.00%
YEAHKA LTD,KYG9835C1087        ,7598,19431,0.00%
YOKOGAWA ELECTRIC JPY,JP3955000009        ,283,9879,0.00%
YONGAN FUTURES CO LTD A,CNE100005D50        ,57749,168545,0.00%
YUM! BRANDS INC,US9884981013        ,725,157008,0.00%
ZAI LAB LTD,US98887Q1040        ,3841,162470,0.00%
ZALANDO SE NPV,DE000ZAL1111        ,280,15193,0.00%
ZEALAND PHARMA A S,DK0060257814        ,4084,655347,0.01%
ZEBRA TECHNOLOGIES CORP,US9892071054        ,448,279636,0.00%
ZENSHO HOLDINGS CO LTD,JP3429300001        ,159,14619,0.00%
ZETA GLOBAL HOLDINGS CORP,US98956A1051        ,22389,650530,0.01%
ZHEJIANG DAILY MEDIA GROUP CO LTD,CNE0000007X9        ,18637,43136,0.00%
ZHEJIANG DINGLI MACHINERY CO LTD,CNE1000023M7        ,23019,328624,0.00%
ZHEJIANG HAILIANG CO A,CNE1000008X5        ,48289,114863,0.00%
ZHONGHONG PULIN MEDICAL PRODUCTS CO LTD,CNE100004KR0        ,19029,54147,0.00%
ZIJIN MINING GROUP CO LTD,CNE100000502        ,2960,8703,0.00%
ZIJIN MINING GROUP ORDINARY SHARES,CNE100000B24        ,109480,366278,0.00%
ZIMMER BIOMET HOLDINGS INC,US98956P1021        ,564,96205,0.00%
ZOETIS INC,US98978V1035        ,2080,547452,0.01%
ZOMATO LTD,INE758T01015        ,89716,470604,0.01%
ZOOM VIDEO COMMUNICATIONS INC,US98980L1017        ,470,61976,0.00%
ZOZO INC,JP3399310006        ,235,11806,0.00%
ZSCALER INC,US98980G1022        ,124,36188,0.00%
ZURICH FINANCIAL SERVICES,CH0011075394        ,275,264223,0.00%
TOTAL,,,3171392971,38.51%
UNLISTED EQUITY,,,,
Held directly or by associated entity or by PSTs,,,,
Internally managed,,,,
Name/kind of investment item,,% OWNERSHIP ,VALUE (AUD),WEIGHTING (%)
AIR LIQUIDE PRIME FIDELITE,,,,
AMBERSIDE LP,,29.00%,,
ASTARTE SILVIPAR 2 LP,,6.60%,,
ASTARTE SPECIAL OPPORTUNITIES PLATFORM,,51.80%,,
AVZ MINERALS LTD,,,,
LEICHHARDT COAL,,49.00%,,
LENDI,,,,
PARTNERS GROUP WANGAL LP,,99.00%,,
PAX LABS INC,,,,
TELUS CORP NON-CANADIAN,,,,
TESS UNISUPER INTERNATIONAL CREDIT TRUST,,,,
FITZWALTER CAPITAL PARTNERS II LP,,26.40%,,
PRP DIAGNOSTIC IMAGING,,31.50%,,
GB DEUTSCHKAND FUND,,,,
GLOBAL ENVIRONMENT EMERGING MARKETS FUND III,,,,
APAX EUROPE VII SIDE CAR 2,,,,
TOTAL,,,49790813,0.61%
UNLISTED EQUITY,,,,
Investment in non associated entities,,,,
Held directly or by associated entity or by PSTs,,,,
Externally Managed,,,,
Name of Fund Manager,,,VALUE (AUD),WEIGHTING (%)
MANULIFE INVESTMENT MANAGEMENT,,,543110,0.01%
IFM INVESTORS PTY LIMITED,,,5152415,0.06%
PENDAL FUND SERVICES LIMITED,,,42577696,0.52%
PERENNIAL,,,11394409,0.14%
QUEST ASSET PARTNERS PTY LTD,,,1,0.00%
T. ROWE PRICE AUSTRALIA LIMITED,,,469068,0.01%
TRIBECA INVESTMENT PARTNERS PTY LTD,,,43469994,0.53%
TOTAL,,,103606693,1.26%
LISTED PROPERTY,,,,
Name/kind of investment item,SECURITY IDENTIFIER,UNITS HELD,VALUE (AUD),WEIGHTING (%)
ABACUS GROUP FULLY PAID ORDINARY/UNITS STAPLED SECURITIES,AU0000291882        ,53869,59256,0.00%
ABACUS STORAGE KING STAPLED UNT D,AU0000286213        ,53869,60602,0.00%
ABRDN EUROPEAN LOGISTICS INCOME PLC,GB00BD9PXH49        ,790,939,0.00%
ACADIA REALTY TRUST,US0042391096        ,233,9090,0.00%
ACTIVIA PROPERTIES INC,JP3047490002        ,1,4594,0.00%
ADVANCE RESIDENCE INVESTMENT CORPORATION,,3,8049,0.00%
AEDIFICA SA,BE0003851681        ,96,8985,0.00%
AEON REIT INVESTMENT CORP,JP3047650001        ,4,4610,0.00%
AEW UK REIT PLC,GB00BWD24154        ,275,559,0.00%
AGREE REALTY CORP,US0084921008        ,214,24318,0.00%
AIMS APAC REIT MANAGEMENT LTD,SG2D63974620        ,1346,1992,0.00%
ALEXANDER AND BALDWI,US0144911049        ,149,4266,0.00%
ALEXANDRIA REAL ESTATE EQUITIES,US0152711091        ,802,126363,0.00%
ALLIED PROPERTIES REAL ESTATE INVESTMENT TRUST,CA0194561027        ,259,4994,0.00%
ALLREAL HOLDING AG-REG,CH0008837566        ,29,8637,0.00%
AMERICAN ASSETS TRUST,US0240131047        ,98,4139,0.00%
AMERICAN HEALTHCARE REIT ORD SHS,US3981823038        ,302,13865,0.00%
AMERICAN HOMES 4 RENT,US02665T3068        ,1111,67132,0.00%
AMERICAN TOWER REIT INC,US03027X1000        ,1379,408506,0.00%
AMERICOLD REALTY TRUST INC,US03064D1081        ,571,19723,0.00%
AMOT INVESTMENTS LTD,IL0010972789        ,453,4143,0.00%
ANNALY CAPITAL MANAGEMENT INC,US0357108390        ,918,27123,0.00%
APARTMENT INV&MGMT COM,US03748R7474        ,283,4160,0.00%
APPLE HOSPITALITY REIT INC,US03784Y2000        ,455,11268,0.00%
ARENA REIT ORDINARY UNITS FULLY PAID,AU000000ARF6        ,775,3014,0.00%
ARGAN SA,FR0010481960        ,25,2565,0.00%
ARGOSY PROPERTY LIMITED,NZARGE0010S7        ,1674,1515,0.00%
ARMADA HOFFLER PROPERTIES INC,US04208T1088        ,137,2272,0.00%
AROUNDTOWN SA,LU1673108939        ,1372,6702,0.00%
ASCENCIO SCA,BE0003856730        ,11,857,0.00%
ASCENDAS REAL ESTATE INVESTMENT TRUST,SG1M77906915        ,11829,35991,0.00%
ASSURA PROPERTIES PLC,GB00BVGBWW93        ,24708,19162,0.00%
ATRIUM LJUNGBERG AB,SE0000191827        ,89,2590,0.00%
AVALONBAY COMMUNITIES INC,US0534841012        ,657,233467,0.00%
AZRIELI GROUP,IL0011194789        ,115,15329,0.00%
BARWA REAL ESTATE CO QSC,QA000A0KD6J5        ,7408,9300,0.00%
BIG YELLOW GROUP PLC,GB0002869419        ,1519,29501,0.00%
BOARDWALK REAL ESTATE INVESTMENT TRUST,CA0966311064        ,82,5911,0.00%
BRANDYWINE REALTY TRUST,US1053682035        ,341,3086,0.00%
BRIGADE ENTERPRISES LTD,INE791I01019        ,1525,35756,0.00%
BRITISH LAND CO GBP,GB0001367019        ,2026,14768,0.00%
BRIXMOR PROPERTY GROUP INC,US11120U1051        ,604,27171,0.00%
BROADSTONE NET LEA COM,US11135E2037        ,375,9617,0.00%
BWP TRUST ORD,AU000000BWP3        ,70396,230898,0.00%
BXP INC,US1011211018        ,782,93941,0.00%
CA IMMOBILIEN ANLAGEN AG,AT0000641352        ,69,2697,0.00%
CAMDEN PROPERTY TRUST,US1331311027        ,540,101262,0.00%
CANADIAN APARTMENT PROPERTIES REITS,CA1349211054        ,418,20028,0.00%
CAPITALAND ASCOTT TRUST,SGXC16332337        ,4979,5129,0.00%
CAPITALAND INTEGRATED COMMERCIAL TRUST,SG1M51904654        ,17859,40808,0.00%
CAPITALAND INVE NPV,SGXE62145532        ,7858,24375,0.00%
CARE PROPERTY INVEST NV,BE0974273055        ,74,1418,0.00%
CARE REIT PLC,GB00BYXVMJ03        ,625,1027,0.00%
CARETRUST REIT INC,US14174T1079        ,369,16122,0.00%
CARMILA SA,FR0010828137        ,117,3136,0.00%
CASTELLUM AB,SE0000379190        ,858,15118,0.00%
CATENA AB,SE0001664707        ,74,5095,0.00%
CBRE GROUP INC CLASS A,US12504L1098        ,859,182073,0.00%
CDL HOSPITALITY TRUSTS,SG1T66931158        ,1744,1776,0.00%
CENTERSPACE COM NPV,US15202L1070        ,30,3250,0.00%
CENTURIA INDUSTRIAL REIT ORDINARY UNITS FULLY PAID,AU000000CIP0        ,12067,34030,0.00%
CENTURIA OFFICE REIT ORDINARY UNITS FULLY PAID,AU0000077893        ,931,1025,0.00%
CHAMPION REIT,HK2778034606        ,3954,1422,0.00%
CHARTER HALL GROUP,AU000000CHC0        ,479405,6879455,0.08%
CHARTER HALL LONG WALE REIT STAPLED SECURITIES,AU000000CLW0        ,58344,218206,0.00%
CHARTER HALL RETAIL-REIT,AU000000CQR9        ,57618,181498,0.00%
CHARTER HALL SOCIAL INFRASTRUCTURE REIT UNITS FULLY PAID,AU0000030645        ,682,1753,0.00%
CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST,CA17039A1066        ,555,8320,0.00%
CIBUS NORDIC REAL ESTATE AB PUBL,SE0010832204        ,114,2941,0.00%
CITYCON OYJ NPV,FI4000369947        ,187,1007,0.00%
CK ASSET HOLDINGS HK,KYG2177B1014        ,2415,16017,0.00%
CLS HLDGS ORD,GB00BF044593        ,318,498,0.00%
COFINIMMO,BE0003593044        ,74,6873,0.00%
COMFORIA RESIDENTIAL REIT INC,JP3047540004        ,1,3967,0.00%
COPT DEFENCE PROPERTIES,US22002T1088        ,224,11218,0.00%
COREM PROPERTY GRP SER`B`NPV,SE0010714287        ,1029,1006,0.00%
COSTAR GROUP INC COM,US22160N1090        ,1073,124068,0.00%
COUSINS PROPERTIES INC,US2227955026        ,304,15057,0.00%
COVIVIO,FR0000064578        ,158,12865,0.00%
CRE LOGISTICS REIT INC,JP3048680007        ,1,1731,0.00%
CROMBIE REAL STATE,CA2271071094        ,219,3245,0.00%
CROMWELL PROPERTY GROUP,AU000000CMW8        ,231307,87897,0.00%
CROWN CASTLE INTL CORP,US22822V1017        ,1101,161349,0.00%
CUBESMART COM,US2296631094        ,448,31012,0.00%
CURBLINE PROPERTIES ORD SHS,US23128Q1013        ,189,7093,0.00%
CUSTODIAN REIT PLC,GB00BJFLFT45        ,815,1271,0.00%
DAITO TRUST CONSTRUCTION COMPANY LTD,JP3486800000        ,76,13708,0.00%
DAIWA HOUSE INDUSTRY JPY,JP3505000004        ,4177,208555,0.00%
DAIWA HOUSE REIT I REIT,JP3046390005        ,4,10675,0.00%
DAIWA OFFICE INVESTMENT CORPORATION,JP3046310003        ,1,3203,0.00%
DAIWA SECURITIES LIVING INVESTMENT CORPORATION,JP3046410001        ,4,3633,0.00%
DERWENT LONDON PLC,GB0002652740        ,889,35229,0.00%
DEUTSCHE EUROSHOP AG,DE0007480204        ,39,1207,0.00%
DEUTSCHE WOHNEN SE NPV BR,DE000A0HN5C6        ,99,3835,0.00%
DEXUS,AU000000DXS1        ,372268,2479302,0.03%
DEXUS INDUSTRIA REIT ORDINARY UNITS STAPLED SECURITIES,AU0000192833        ,424,1090,0.00%
DIAMONDROCK HOSPITALITY COMPANY,US2527843013        ,421,6141,0.00%
DIGICO INFRASTRUCTURE REIT FULLY PAID ORD UNITS STAPLED SECURITY,AU0000367088        ,122699,546009,0.01%
DIGITAL CORE REIT,SGXC50067435        ,1907,1787,0.00%
DIGITAL REALTY TRUST INC,US2538681030        ,1455,416810,0.01%
DIOS FASTIGHETER AB,SE0001634262        ,176,2035,0.00%
DOUGLAS EMMETT INC,US25960P1093        ,321,9631,0.00%
DREAM INDUSTRIAL REAL ESTATE INVESTMENT TRUST,CA26153W1095        ,550,7294,0.00%
EASTERLY GOVERNMENT PROPERTIES INC,US27616P1030        ,194,3568,0.00%
EASTGROUP PROPERTIES INC,US2772761019        ,98,25483,0.00%
EMAAR DEVELOPMENT PJSC,AEE001901017        ,18354,110567,0.00%
EMPIRE STATE REALTY TRUST INC,US2921041065        ,264,4405,0.00%
EMPIRIC STUDENT PROPERTY PLC,GB00BLWDVR75        ,5514,9314,0.00%
ENTRA ASA,NO0010716418        ,144,2366,0.00%
EPR PPTYS SBI USD,US26884U1097        ,151,10801,0.00%
EQUINIX INC COM,US29444U7000        ,2246,3420362,0.04%
EQUITY LIFESTYLE PROPERTIES INC,US29472R1086        ,706,75953,0.00%
EQUITY RESIDENTIAL,US29476L1070        ,1685,195261,0.00%
ESR KENDALL SQUARE NPV,KR7365550003        ,234,1090,0.00%
ESR REIT,SG1T70931228        ,12455,3760,0.00%
ESSENTIAL PROPERTIES REALTY TRUST INC,US29670E1073        ,351,17744,0.00%
ESSEX PROPERTY TRUST INC,US2971781057        ,308,142072,0.00%
EUROCOMMERCIAL,NL0015000K93        ,86,3176,0.00%
EXTRA SPACE STORAGE INC,US30225T1025        ,974,235323,0.00%
FABEGE AB NPV POST SPLIT,SE0011166974        ,449,5432,0.00%
FAR EAST HOSPITALITY TRUST REIT,SG2F08984575        ,1941,1402,0.00%
FAST PARTNER ORD SHS CLASS A,SE0013512506        ,104,971,0.00%
FASTIGHETS AB BALD SER B NPV POST SPLIT,SE0017832488        ,2113,23725,0.00%
FEDERAL REALTY INVESTMENT TRUST,US3137451015        ,318,57579,0.00%
FIRST CAP REAL EST UNIT,CA31890B1031        ,425,8087,0.00%
FIRST INDUSTRIAL REALTY TRUST,US32054K1034        ,266,21573,0.00%
FIRSTSERVICE CORP COM NPV,CA33767E2024        ,48,14123,0.00%
FORTUNE REAL ESTATE INVESTMENT NPV,SG1O33912138        ,2899,2405,0.00%
FOUR CORNERS PROPERTY TRUST INC,US35086T1097        ,183,8026,0.00%
FRASERS CENTREPOINT TRUST,SG1T60930966        ,2217,5538,0.00%
FRASERS LOGISTICS AND COMMERCIAL TRUST,SG1CI9000006        ,5818,6062,0.00%
FRONTIER REAL ESTATE INVESTMENT TRUST ORD SHS,JP3046200006        ,5,4210,0.00%
FUKUOKA REIT CORP REIT,JP3046240002        ,1,2144,0.00%
GAMING AND LEISURE PROPERTIES INC,US36467J1088        ,887,69026,0.00%
GECINA,FR0010040865        ,161,24430,0.00%
GETTY REALTY CORPORATION,US3742971092        ,99,4819,0.00%
GLOBAL NET LEASE INC,US3793782018        ,395,4661,0.00%
GLOBAL ONE REIT ESTATE INVESTMENT CORP,JP3044520009        ,2,2102,0.00%
GLP JREIT REIT,JP3047510007        ,9,11781,0.00%
GODREJ PROPERTIES LTD,INE484J01027        ,1399,73551,0.00%
GOODMAN GROUP,AU000000GMG2        ,1287150,45874038,0.56%
GOODMAN PROPERTY TRUST,NZCPTE0001S9        ,2099,3818,0.00%
GPT GROUP,AU000000GPT8        ,2048254,8950871,0.11%
GRAINGER PLC,GB00B04V1276        ,4884,22226,0.00%
GRAND CITY PROPERTIES SA,LU0775917882        ,127,2503,0.00%
GRANITE REAL ESTAT UNITS,CA3874372053        ,128,9990,0.00%
GREAT PORTLAND EST ORD,GB00BF5H9P87        ,2875,16749,0.00%
GROWTHPOINT PROPERTIES AUSTRALIA,AU000000GOZ8        ,25089,59713,0.00%
HAMBORNER REIT AG NPV (REG),DE000A3H2333        ,148,1559,0.00%
HAMMERSON ORD GBP 0.05,GB00BRJQ8J25        ,4225,23897,0.00%
HANKYU HANSHIN REIT INC,JP3046320002        ,1,1661,0.00%
HARWORTH GROUP PLC,GB00BYZJ7G42        ,1447,4974,0.00%
HEALTHCARE AND MEDICAL INVESTMENT CORP,JP3047910009        ,1,756,0.00%
HEALTHCARE REALTY TRUST INC,US42226K1051        ,707,19366,0.00%
HEALTHCO HEALTHCARE AND WELLNESS REIT ORDINARY UNITS FULLY PAID,AU0000169302        ,845,862,0.00%
HEALTHPEAK PROPERTIES INC,US42250P1030        ,3478,113874,0.00%
HEIWA REAL ESTATE REIT,JP3046220004        ,2,2570,0.00%
HELICAL PLC,GB00B0FYMT95        ,263,920,0.00%
HENDERSON LAND DEVELOPMENT CO,HK0012000102        ,1794,8803,0.00%
HIGHWOODS PROPERTIES INC,US4312841087        ,209,10345,0.00%
HOME REIT PLC,GB00BJP5HK17        ,1627,1252,0.00%
HOMECO DAILY NEEDS REIT ORDINARY UNITS FULLY PAID DEFERRED SETTLEMENT,AU0000113136        ,1775365,2032793,0.02%
HONGKONG LAND HOLDINGS LTD,BMG4587L1090        ,3444,24751,0.00%
HOSHINO RESORTS REIT,JP3047610005        ,1,2780,0.00%
HOST HOTELS & RESORTS INC,US44107P1049        ,3555,100587,0.00%
HR REAL ESTATE IN UNITS,CA4039254079        ,518,5395,0.00%
HUFVUDSTADEN AB-A SHS,SE0000170375        ,222,3923,0.00%
HULIC CO LTD,JP3360800001        ,814,11463,0.00%
HULIC REIT INC,JP3047660000        ,3,3679,0.00%
HYSAN DEVELOPMENT CO,HK0014000126        ,1254,3087,0.00%
ICADE,FR0000035081        ,66,2522,0.00%
ICHIGO REAL ESTATE INVESTMENT CORP,JP3046300004        ,2,1650,0.00%
IMM GRANDE DISTRIB NPV POST SPLIT,IT0005322612        ,137,574,0.00%
INDEPENDENCE REALTY TRUST INC,US45378A1060        ,450,14427,0.00%
INDUSTRIAL AND INFRAREIT,JP3046500009        ,5,5510,0.00%
INGENIA COMMUNITIES GROUP,AU000000INA9        ,45766,209610,0.00%
INM COLONIAL SOCIM EUR,ES0139140174        ,661,5718,0.00%
INNOVATIVE INDUSTRIAL PROPERTIES INC,US45781V1017        ,56,6058,0.00%
INTERRENT REAL ESTATATE INVESTMENT TRUST,CA46071W2058        ,273,3107,0.00%
INTERSHOP HLDG AG CHF2,CH1338987303        ,11,2523,0.00%
INVENTRUST PROPERTIES CORP,US46124J2015        ,138,6726,0.00%
INVINCIBLE INVESTMENT CORP REIT,JP3046190009        ,15,10498,0.00%
INVITATION HOMES INC,US46187W1071        ,2846,146973,0.00%
IRISH RESIDENTIAL PROPERTIES REIT PLC,IE00BJ34P519        ,917,1401,0.00%
IRON MOUNTAIN INC,US46284V1017        ,1349,229031,0.00%
IWG PLC ORD GBP0.01,JE00BYVQYS01        ,5314,17102,0.00%
JAP PRIME REALTY INV,JP3040890000        ,2,5959,0.00%
JAPAN EXCELLENT INC,JP3046420000        ,3,3003,0.00%
JAPAN HOTEL REIT INVESTMENT CORP,JP3046400002        ,10,7547,0.00%
JAPAN LOGISTICS FUND INC,JP3046230003        ,2,4914,0.00%
JAPAN METROPOLITAN FUND INVESTMENT CORPORATION,JP3039710003        ,14,12653,0.00%
JAPAN REAL ESTATE INVESTMENT TRUST ORD SHS,JP3027680002        ,21,23650,0.00%
JBG SMITH PROPERTIES,US46590V1008        ,166,4129,0.00%
JR GLOBAL ORD SHS,KR7348950007        ,228,690,0.00%
K-REIT ASIA,SG1T22929874        ,4733,4875,0.00%
KE HOLDINGS INC ADR,US4824971042        ,18398,547351,0.01%
KENEDIX OFFICE INVESTMENT CORP,JP3046270009        ,8,12335,0.00%
KENNEDY WILSON HOLDINGS INC,US4893981070        ,227,3655,0.00%
KEPPEL DC REIT UNITS,SG1AF6000009        ,3352,8652,0.00%
KERRY PROPERTIES LTD,BMG524401079        ,367497,1188944,0.01%
KILLAM APT REAL ES TRUST UNIT,CA49410M1023        ,239,4597,0.00%
KILROY REALTY CORP,US49427F1084        ,234,15313,0.00%
KIMCO REALTY CORP,US49446R1095        ,3276,123956,0.00%
KITE REALTY GROUP COM,US49803T3005        ,433,17644,0.00%
KIWI PROPERTY GROUP LIMITED,NZKPGE0001S9        ,3218,2620,0.00%
KLEPIERRE,FR0000121964        ,685,31841,0.00%
KOJAMO OYJ,FI4000312251        ,323,5070,0.00%
LAMDA DEVELOPMENT SA,GRS245213004        ,11794,144195,0.00%
LAND SECURITIES GROUP PLC,GB00BYW0PQ60        ,2382,28144,0.00%
LAR ESPANA REAL ESTATE SA,ES0105015012        ,120,1653,0.00%
LASALLE LOGIPORT REIT,JP3048180008        ,4,5514,0.00%
LEG IMMOBILIEN SE,DE000LEG1110        ,243,33176,0.00%
LENDLEASE CORPORATION LIMITED,AU000000LLC3        ,113035,704208,0.01%
LENDLEASE GLOBAL COMMERCIAL REIT,SGXC61949712        ,3420,2227,0.00%
LIFE SCIENCE RIET ORD GBP,GB00BP5X4Q29        ,711,546,0.00%
LINEAGE INC ORD SHS REIT,US53566V1061        ,124,11726,0.00%
LOGISTEA AB,SE0017131337        ,375,900,0.00%
LONDONMETRIC PROPERTY PLC,GB00B4WFW713        ,3971,14468,0.00%
LOTTE REIT CO LTD,KR7330590001        ,290,971,0.00%
LTC PROPERTIES INC,US5021751020        ,85,4731,0.00%
LXP INDUSTRIAL TRUST,US5290431015        ,578,7587,0.00%
MACERICH CO,US5543821012        ,478,15365,0.00%
MAPLETREE INDUSTRIAL TRUST,SG2C32962814        ,3965,10375,0.00%
MAPLETREE LOGISTICS TRUST,SG1S03926213        ,6699,10072,0.00%
MAPLETREE PAN ASIA COMMERCIAL TRUST,SG2D18969584        ,4671,6692,0.00%
"MEDICAL PROPERTIES TRUST, INC.",US58463J3041        ,1190,7595,0.00%
MELISRON LTD,IL0003230146        ,51,7329,0.00%
MERCIALYS,FR0010241638        ,189,3187,0.00%
MERLIN PROPERTIES SOCIMI SA,ES0105025003        ,879,14940,0.00%
MID-AMERICA APARTMENT COMMUNITIES,US59522J1034        ,563,140545,0.00%
MIRAI CORPORATION REIT,JP3048370005        ,4,1580,0.00%
MIRVAC GROUP PROPERTY TRUST,AU000000MGR9        ,2160945,4051771,0.05%
MITSUBISHI ESTATE,JP3899600005        ,179070,4049555,0.05%
MITSUBISHI ESTATE LOGISTICS REIT INVESTMENT CORPORATION,JP3048480002        ,1,3501,0.00%
MITSUI FUDOSAN CO,JP3893200000        ,16612,216814,0.00%
MITSUI FUDOSAN LOGISTICS PARK INC,JP3048300002        ,6,6383,0.00%
MOBIMO HLDG AG,CH0011108872        ,14,7455,0.00%
MONTEA CVA,BE0003853703        ,41,4336,0.00%
MORI HILLS REAL ESTATE INVESTMENT CORPORATION,JP3046470005        ,3,4055,0.00%
MORI TRUST REIT INC,JP3046170001        ,5,3238,0.00%
NATIONAL HEALTH INVESTORS,US63633D1046        ,83,9329,0.00%
NATIONAL STORAGE AFFILIATES TRUST,US6378701063        ,138,8462,0.00%
NATIONAL STORAGE REIT STAPLED SECURITY FULLY PAID,AU000000NSR2        ,770822,1803723,0.02%
NEOBO FASTIGHETER NPV,SE0005034550        ,261,798,0.00%
NETSTREIT CORP,US64119V3033        ,152,3468,0.00%
NEWRIVER REIT PLC,GB00BD7XPJ64        ,633,939,0.00%
NEXPOINT RESIDENTIAL TRUST INC,US65341D1028        ,46,3074,0.00%
NIPPON ACCOMMODATIONS FUND,JP3046440008        ,1,5587,0.00%
NIPPON BUILDING FUND INC,JP3027670003        ,25,31507,0.00%
NIPPON PROLOGIS REIT INC,JP3047550003        ,5,11293,0.00%
NIPPON REIT INVESTMENT REIT ORD SHS,JP3047750009        ,4,2741,0.00%
NNN REIT INC,US6374171063        ,365,24112,0.00%
NOMURA REAL EST MA REIT,JP3048110005        ,9,12743,0.00%
NORTHWEST HEALTHCA UNITS,CA6674951059        ,445,2222,0.00%
NP3 FASTIGHETER AB,SE0006342333        ,51,1860,0.00%
NSI N V,NL0012365084        ,42,1343,0.00%
NTT UD REIT INVESTMNET CORP,JP3041770003        ,3,3538,0.00%
NYFOSA AB NPV,SE0011426428        ,319,5028,0.00%
